x_value,total_1,total_2
192,1149,1092
193,1152,1096
194,1147,1101
195,1148,1096
196,1147,1101
197,1143,1107
198,1138,1108
199,1133,1108
200,1127,1114
201,1127,1120
202,1128,1123
203,1129,1118
204,1133,1123
205,1140,1126
206,1148,1124
207,1147,1120
208,1145,1118
209,1149,1121
210,1145,1127
211,1149,1124
212,1144,1124
213,1147,1123
214,1147,1128
215,1143,1125
216,1137,1125
217,1137,1125
218,1136,1128
219,1144,1131
220,1152,1127
221,1154,1132
222,1157,1137
223,1155,1138
224,1162,1140
225,1156,1140
226,1164,1145
227,1162,1144
228,1156,1147
229,1159,1153
230,1153,1148
231,1154,1147
232,1154,1151
233,1162,1153
234,1169,1150
235,1174,1156
236,1173,1152
237,1172,1156
238,1167,1162
239,1165,1157
240,1163,1157
241,1163,1162
242,1163,1164
243,1157,1162
244,1155,1159
245,1159,1165
246,1165,1171
247,1172,1172
248,1177,1170
249,1180,1173
250,1175,1171
251,1170,1169
252,1164,1165
253,1165,1161
254,1164,1167
255,1164,1170
256,1169,1171
257,1175,1176
258,1172,1171
259,1172,1172
260,1173,1178
261,1178,1182
262,1179,1179
263,1179,1175
264,1175,1174
265,1176,1180
266,1176,1175
267,1180,1179
268,1174,1185
269,1180,1186
270,1188,1186
271,1195,1186
272,1189,1186
273,1185,1190
274,1185,1194
275,1182,1200
276,1186,1197
277,1189,1203
278,1197,1200
279,1192,1200
280,1191,1205
281,1199,1201
282,1204,1206
283,1211,1206
284,1218,1205
285,1225,1200
286,1226,1199
287,1221,1199
288,1227,1198
289,1226,1202
290,1231,1199
291,1233,1199
292,1227,1203
293,1231,1201
294,1233,1199
295,1238,1199
296,1235,1199
297,1236,1196
298,1234,1202
299,1236,1198
300,1243,1195
301,1249,1201
302,1256,1198
303,1258,1196
304,1260,1201
305,1264,1203
306,1261,1205
307,1262,1208
308,1270,1207
309,1278,1211
310,1274,1214
311,1281,1209
312,1278,1210
313,1281,1211
314,1282,1206
315,1287,1210
316,1290,1213
317,1298,1208
318,1304,1211
319,1299,1213
320,1294,1218
321,1289,1218
322,1292,1220
323,1289,1223
324,1288,1223
325,1295,1221
326,1301,1221
327,1308,1218
328,1305,1224
329,1312,1228
330,1312,1233
331,1317,1233
332,1315,1228
333,1311,1233
334,1308,1234
335,1313,1234
336,1312,1240
337,1311,1246
338,1305,1248
339,1304,1254
340,1305,1260
341,1300,1263
342,1307,1261
343,1308,1266
344,1316,1261
345,1322,1258
346,1328,1262
347,1326,1264
348,1333,1266
349,1337,1270
350,1333,1268
351,1333,1268
352,1327,1272
353,1326,1270
354,1333,1265
355,1338,1270
356,1346,1268
357,1351,1271
358,1351,1274
359,1354,1273
360,1356,1271
361,1358,1273
362,1366,1276
363,1365,1281
364,1359,1286
365,1361,1285
366,1362,1285
367,1364,1285
368,1359,1288
369,1364,1294
370,1372,1293
371,1370,1289
372,1378,1289
373,1385,1294
374,1382,1293
375,1378,1288
376,1381,1289
377,1381,1291
378,1379,1291
379,1385,1289
380,1389,1288
381,1390,1289
382,1386,1287
383,1384,1287
384,1383,1292
385,1388,1289
386,1383,1286
387,1380,1282
388,1384,1287
389,1378,1286
390,1373,1281
391,1379,1276
392,1377,1278
393,1379,1275
394,1375,1280
395,1370,1276
396,1372,1272
397,1377,1277
398,1372,1280
399,1372,1280
400,1376,1278
401,1371,1279
402,1373,1277
403,1375,1274
404,1378,1274
405,1378,1272
406,1384,1267
407,1385,1272
408,1385,1269
409,1381,1273
410,1379,1268
411,1377,1265
412,1385,1269
413,1389,1270
414,1396,1269
415,1392,1264
416,1397,1260
417,1401,1263
418,1409,1263
419,1403,1268
420,1399,1274
421,1399,1280
422,1405,1276
423,1409,1275
424,1416,1273
425,1412,1269
426,1418,1272
427,1417,1276
428,1414,1277
429,1417,1281
430,1423,1277
431,1424,1275
432,1427,1279
433,1423,1283
434,1421,1285
435,1428,1284
436,1430,1284
437,1430,1279
438,1435,1277
439,1438,1272
440,1445,1268
441,1451,1274
442,1447,1272
443,1443,1272
444,1447,1276
445,1444,1274
446,1444,1274
447,1442,1278
448,1442,1281
449,1445,1283
450,1452,1281
451,1451,1284
452,1447,1279
453,1445,1283
454,1452,1286
455,1455,1287
456,1462,1286
457,1465,1287
458,1469,1285
459,1463,1291
460,1467,1292
461,1466,1291
462,1467,1293
463,1472,1292
464,1472,1288
465,1476,1294
466,1473,1290
467,1476,1295
468,1478,1293
469,1479,1290
470,1478,1287
471,1476,1287
472,1482,1285
473,1484,1288
474,1490,1288
475,1490,1292
476,1496,1288
477,1503,1292
478,1504,1291
479,1512,1292
480,1507,1296
481,1510,1291
482,1518,1289
483,1517,1285
484,1522,1280
485,1526,1286
486,1532,1284
487,1539,1289
488,1535,1286
489,1543,1288
490,1550,1293
491,1553,1288
492,1556,1286
493,1563,1292
494,1567,1294
495,1565,1295
496,1573,1299
497,1576,1295
498,1571,1290
499,1576,1291
500,1577,1294
501,1580,1292
502,1580,1290
503,1579,1289
504,1574,1295
505,1575,1297
506,1574,1302
507,1569,1301
508,1571,1302
509,1576,1300
510,1575,1306
511,1575,1310
512,1582,1311
513,1585,1316
514,1589,1313
515,1595,1312
516,1602,1318
517,1601,1319
518,1608,1323
519,1607,1326
520,1606,1327
521,1613,1330
522,1612,1328
523,1610,1334
524,1604,1334
525,1609,1339
526,1604,1340
527,1601,1337
528,1609,1343
529,1613,1344
530,1617,1348
531,1620,1350
532,1626,1354
533,1629,1357
534,1631,1361
535,1632,1357
536,1638,1361
537,1645,1360
538,1644,1364
539,1641,1361
540,1647,1360
541,1655,1361
542,1657,1364
543,1659,1365
544,1667,1361
545,1674,1357
546,1670,1363
547,1664,1369
548,1668,1374
549,1675,1380
550,1672,1386
551,1669,1382
552,1672,1382
553,1677,1386
554,1685,1387
555,1683,1392
556,1682,1391
557,1682,1389
558,1688,1384
559,1693,1381
560,1698,1376
561,1706,1377
562,1711,1382
563,1711,1377
564,1714,1380
565,1716,1378
566,1715,1377
567,1710,1383
568,1708,1389
569,1715,1385
570,1717,1390
571,1719,1392
572,1722,1392
573,1721,1393
574,1726,1389
575,1731,1386
576,1737,1390
577,1743,1394
578,1747,1398
579,1746,1400
580,1743,1403
581,1741,1402
582,1736,1398
583,1735,1393
584,1736,1391
585,1737,1395
586,1745,1398
587,1750,1393
588,1747,1399
589,1754,1396
590,1759,1399
591,1765,1405
592,1772,1405
593,1778,1400
594,1786,1397
595,1782,1393
596,1781,1389
597,1787,1385
598,1794,1381
599,1801,1383
600,1809,1387
601,1806,1383
602,1805,1386
603,1810,1388
604,1810,1394
605,1812,1393
606,1806,1395
607,1803,1400
608,1801,1406
609,1799,1406
610,1794,1402
611,1798,1397
612,1800,1392
613,1806,1393
614,1803,1390
615,1807,1389
616,1809,1390
617,1811,1395
618,1806,1397
619,1809,1394
620,1809,1399
621,1805,1398
622,1799,1399
623,1796,1404
624,1799,1402
625,1799,1403
626,1794,1398
627,1791,1403
628,1798,1409
629,1794,1410
630,1789,1415
631,1796,1419
632,1797,1421
633,1801,1418
634,1800,1423
635,1801,1426
636,1807,1429
637,1807,1435
638,1801,1432
639,1805,1435
640,1804,1441
641,1806,1446
642,1804,1445
643,1810,1446
644,1812,1446
645,1817,1447
646,1816,1442
647,1814,1440
648,1811,1435
649,1809,1430
650,1814,1428
651,1815,1427
652,1814,1431
653,1808,1436
654,1802,1441
655,1805,1446
656,1808,1450
657,1816,1447
658,1811,1451
659,1810,1457
660,1804,1455
661,1805,1460
662,1800,1458
663,1799,1458
664,1807,1461
665,1813,1458
666,1810,1464
667,1815,1463
668,1809,1460
669,1806,1456
670,1806,1453
671,1800,1458
672,1803,1463
673,1802,1468
674,1804,1473
675,1812,1471
676,1809,1474
677,1809,1473
678,1804,1478
679,1804,1479
680,1803,1476
681,1798,1481
682,1792,1480
683,1794,1479
684,1799,1478
685,1794,1475
686,1794,1480
687,1801,1478
688,1798,1475
689,1796,1479
690,1800,1483
691,1802,1481
692,1809,1477
693,1813,1482
694,1821,1478
695,1819,1481
696,1822,1478
697,1823,1477
698,1831,1480
699,1834,1486
700,1829,1481
701,1837,1481
702,1833,1485
703,1829,1484
704,1827,1480
705,1835,1479
706,1840,1483
707,1844,1485
708,1852,1491
709,1846,1494
710,1842,1500
711,1849,1496
712,1856,1493
713,1852,1498
714,1860,1494
715,1857,1494
716,1863,1490
717,1863,1496
718,1862,1497
719,1864,1500
720,1872,1496
721,1868,1502
722,1866,1507
723,1870,1512
724,1875,1516
725,1871,1512
726,1868,1515
727,1875,1512
728,1875,1508
729,1877,1512
730,1883,1512
731,1886,1511
732,1891,1510
733,1898,1507
734,1902,1511
735,1900,1508
736,1904,1514
737,1904,1509
738,1904,1515
739,1904,1510
740,1908,1506
741,1903,1509
742,1908,1514
743,1913,1514
744,1910,1509
745,1914,1510
746,1916,1510
747,1922,1506
748,1928,1508
749,1923,1504
750,1921,1501
751,1919,1499
752,1915,1499
753,1923,1500
754,1929,1504
755,1932,1505
756,1928,1503
757,1925,1506
758,1925,1511
759,1925,1512
760,1921,1510
761,1922,1509
762,1921,1515
763,1916,1511
764,1921,1507
765,1920,1506
766,1928,1504
767,1925,1506
768,1925,1507
769,1933,1507
770,1928,1505
771,1922,1511
772,1921,1508
773,1922,1509
774,1920,1513
775,1923,1512
776,1918,1518
777,1916,1515
778,1924,1510
779,1924,1509
780,1930,1513
781,1937,1519
782,1941,1519
783,1936,1518
784,1933,1520
785,1931,1525
786,1926,1525
787,1925,1523
788,1932,1524
789,1936,1526
790,1941,1524
791,1944,1528
792,1942,1533
793,1945,1537
794,1949,1543
795,1944,1538
796,1946,1533
797,1949,1538
798,1950,1539
799,1951,1534
800,1945,1540
801,1939,1535
802,1936,1540
803,1940,1538
804,1943,1534
805,1940,1529
806,1944,1530
807,1949,1526
808,1953,1531
809,1948,1537
810,1942,1532
811,1945,1528
812,1953,1534
813,1958,1540
814,1958,1538
815,1953,1539
816,1953,1543
817,1959,1544
818,1961,1547
819,1969,1543
820,1973,1548
821,1976,1546
822,1975,1548
823,1970,1554
824,1973,1556
825,1974,1556
826,1971,1555
827,1965,1550
828,1961,1553
829,1955,1549
830,1957,1553
831,1958,1548
832,1952,1552
833,1959,1556
834,1965,1556
835,1971,1556
836,1968,1552
837,1964,1558
838,1966,1559
839,1971,1565
840,1979,1562
841,1984,1565
842,1982,1560
843,1986,1557
844,1988,1562
845,1989,1563
846,1989,1569
847,1993,1568
848,1991,1569
849,1995,1569
850,2002,1567
851,2001,1573
852,1995,1578
853,1995,1578
854,1993,1583
855,1993,1587
856,1993,1582
857,1994,1578
858,1998,1577
859,2004,1579
860,2002,1584
861,1996,1586
862,1998,1586
863,2005,1581
864,2009,1581
865,2008,1577
866,2011,1580
867,2015,1579
868,2014,1579
869,2017,1582
870,2018,1580
871,2017,1583
872,2012,1587
873,2012,1588
874,2010,1593
875,2008,1594
876,2016,1589
877,2023,1590
878,2017,1588
879,2021,1589
880,2019,1594
881,2023,1596
882,2017,1592
883,2022,1588
884,2025,1585
885,2030,1580
886,2025,1580
887,2020,1575
888,2027,1581
889,2027,1577
890,2027,1583
891,2027,1585
892,2029,1590
893,2026,1595
894,2034,1600
895,2041,1599
896,2041,1599
897,2045,1595
898,2045,1598
899,2052,1597
900,2054,1597
901,2049,1598
902,2056,1595
903,2056,1591
904,2055,1594
905,2053,1593
906,2060,1598
907,2062,1596
908,2058,1600
909,2052,1606
910,2054,1605
911,2054,1606
912,2057,1603
913,2063,1599
914,2069,1597
915,2064,1593
916,2058,1593
917,2052,1591
918,2058,1591
919,2057,1589
920,2053,1591
921,2060,1590
922,2067,1591
923,2066,1593
924,2069,1593
925,2075,1594
926,2081,1593
927,2076,1595
928,2079,1599
929,2078,1594
930,2080,1597
931,2082,1594
932,2088,1592
933,2091,1594
934,2099,1596
935,2095,1600
936,2102,1595
937,2108,1593
938,2102,1599
939,2108,1600
940,2112,1604
941,2107,1603
942,2105,1603
943,2101,1602
944,2095,1603
945,2100,1609
946,2104,1613
947,2100,1616
948,2108,1612
949,2110,1615
950,2111,1621
951,2106,1617
952,2112,1620
953,2120,1622
954,2119,1624
955,2125,1624
956,2128,1625
957,2135,1627
958,2143,1629
959,2148,1624
960,2154,1629
961,2158,1635
962,2153,1638
963,2153,1643
964,2157,1645
965,2159,1641
966,2156,1640
967,2160,1642
968,2155,1644
969,2153,1646
970,2155,1652
971,2163,1648
972,2164,1647
973,2170,1651
974,2172,1657
975,2177,1655
976,2173,1661
977,2178,1665
978,2178,1663
979,2186,1669
980,2183,1672
981,2177,1667
982,2184,1663
983,2189,1662
984,2195,1662
985,2202,1667
986,2205,1662
987,2202,1660
988,2210,1661
989,2205,1665
990,2205,1668
991,2204,1669
992,2200,1668
993,2199,1669
994,2198,1666
995,2204,1665
996,2205,1660
997,2199,1666
998,2198,1667
999,2200,1662
1000,2199,1662
1001,2207,1659
1002,2203,1665
1003,2209,1664
1004,2206,1666
1005,2209,1672
1006,2204,1668
1007,2209,1671
1008,2203,1675
1009,2208,1677
1010,2211,1675
1011,2209,1674
1012,2216,1676
1013,2213,1682
1014,2217,1682
1015,2215,1681
1016,2220,1682
1017,2227,1686
1018,2226,1682
1019,2220,1682
1020,2220,1687
1021,2216,1688
1022,2210,1691
1023,2217,1692
1024,2212,1695
1025,2207,1698
1026,2205,1697
1027,2206,1697
1028,2202,1698
1029,2204,1695
1030,2211,1695
1031,2214,1700
1032,2218,1704
1033,2224,1699
1034,2225,1700
1035,2230,1702
1036,2225,1699
1037,2230,1700
1038,2236,1706
1039,2233,1706
1040,2238,1702
1041,2242,1699
1042,2242,1699
1043,2238,1694
1044,2232,1695
1045,2227,1699
1046,2221,1698
1047,2220,1701
1048,2217,1705
1049,2216,1702
1050,2212,1706
1051,2215,1706
1052,2219,1704
1053,2221,1708
1054,2222,1708
1055,2227,1704
1056,2232,1699
1057,2227,1702
1058,2223,1697
1059,2219,1698
1060,2221,1693
1061,2223,1690
1062,2217,1686
1063,2220,1681
1064,2214,1680
1065,2213,1679
1066,2208,1685
1067,2209,1686
1068,2216,1687
1069,2211,1688
1070,2206,1692
1071,2205,1690
1072,2211,1693
1073,2206,1693
1074,2213,1696
1075,2215,1693
1076,2218,1698
1077,2225,1696
1078,2226,1697
1079,2229,1695
1080,2223,1698
1081,2229,1694
1082,2232,1691
1083,2235,1695
1084,2229,1698
1085,2224,1700
1086,2220,1697
1087,2225,1696
1088,2227,1694
1089,2233,1693
1090,2233,1689
1091,2233,1694
1092,2239,1694
1093,2244,1695
1094,2243,1700
1095,2244,1704
1096,2238,1704
1097,2233,1707
1098,2234,1706
1099,2230,1705
1100,2234,1709
1101,2240,1709
1102,2236,1709
1103,2239,1708
1104,2243,1708
1105,2238,1714
1106,2244,1719
1107,2251,1718
1108,2253,1724
1109,2251,1723
1110,2252,1728
1111,2252,1727
1112,2258,1722
1113,2263,1720
1114,2259,1726
1115,2262,1722
1116,2257,1728
1117,2256,1728
1118,2254,1728
1119,2262,1725
1120,2267,1730
1121,2268,1733
1122,2262,1729
1123,2258,1735
1124,2256,1735
1125,2255,1739
1126,2255,1737
1127,2261,1732
1128,2256,1731
1129,2254,1729
1130,2250,1728
1131,2244,1734
1132,2246,1740
1133,2250,1743
1134,2248,1745
1135,2243,1747
1136,2244,1743
1137,2248,1739
1138,2253,1735
1139,2252,1733
1140,2256,1736
1141,2255,1740
1142,2252,1742
1143,2256,1746
1144,2260,1752
1145,2254,1749
1146,2249,1744
1147,2251,1742
1148,2255,1738
1149,2255,1733
1150,2253,1738
1151,2249,1740
1152,2244,1739
1153,2244,1737
1154,2247,1734
1155,2249,1730
1156,2249,1726
1157,2252,1721
1158,2248,1723
1159,2251,1718
1160,2246,1714
1161,2242,1713
1162,2249,1714
1163,2251,1712
1164,2253,1717
1165,2261,1722
1166,2261,1722
1167,2268,1720
1168,2270,1720
1169,2272,1724
1170,2276,1720
1171,2276,1726
1172,2283,1727
1173,2291,1733
1174,2299,1730
1175,2294,1736
1176,2298,1732
1177,2295,1732
1178,2291,1733
1179,2294,1732
1180,2289,1734
1181,2287,1731
1182,2287,1733
1183,2292,1735
1184,2291,1735
1185,2298,1738
1186,2304,1735
1187,2307,1732
1188,2305,1733
1189,2309,1736
1190,2317,1736
1191,2321,1738
1192,2324,1738
1193,2327,1738
1194,2333,1733
1195,2339,1735
1196,2334,1740
1197,2334,1743
1198,2332,1740
1199,2327,1739
1200,2322,1743
1201,2322,1741
1202,2330,1747
1203,2327,1749
1204,2330,1744
1205,2328,1748
1206,2323,1751
1207,2323,1754
1208,2319,1753
1209,2313,1748
1210,2314,1751
1211,2311,1753
1212,2312,1754
1213,2314,1759
1214,2312,1762
1215,2317,1764
1216,2318,1770
1217,2320,1775
1218,2323,1776
1219,2328,1773
1220,2332,1779
1221,2327,1777
1222,2321,1775
1223,2316,1774
1224,2310,1780
1225,2309,1780
1226,2312,1775
1227,2319,1770
1228,2325,1776
1229,2330,1776
1230,2331,1772
1231,2331,1777
1232,2326,1781
1233,2333,1779
1234,2336,1779
1235,2334,1784
1236,2338,1782
1237,2341,1784
1238,2342,1789
1239,2338,1794
1240,2346,1799
1241,2354,1803
1242,2349,1799
1243,2356,1798
1244,2360,1793
1245,2355,1798
1246,2357,1793
1247,2361,1796
1248,2368,1802
1249,2368,1805
1250,2369,1805
1251,2376,1800
1252,2379,1805
1253,2387,1806
1254,2389,1809
1255,2396,1807
1256,2404,1813
1257,2399,1818
1258,2396,1821
1259,2393,1824
1260,2400,1829
1261,2405,1828
1262,2409,1823
1263,2415,1825
1264,2412,1820
1265,2406,1818
1266,2413,1821
1267,2413,1821
1268,2412,1819
1269,2412,1819
1270,2413,1823
1271,2415,1818
1272,2410,1813
1273,2406,1812
1274,2400,1809
1275,2400,1813
1276,2396,1814
1277,2392,1815
1278,2386,1811
1279,2384,1813
1280,2390,1814
1281,2398,1819
1282,2403,1820
1283,2405,1820
1284,2403,1823
1285,2402,1820
1286,2396,1816
1287,2400,1818
1288,2395,1815
1289,2400,1820
1290,2403,1820
1291,2408,1826
1292,2414,1832
1293,2412,1829
1294,2417,1830
1295,2425,1826
1296,2427,1824
1297,2421,1827
1298,2425,1824
1299,2429,1820
1300,2435,1818
1301,2431,1821
1302,2437,1823
1303,2440,1825
1304,2439,1830
1305,2441,1830
1306,2449,1825
1307,2445,1821
1308,2445,1826
1309,2453,1831
1310,2458,1831
1311,2459,1830
1312,2457,1836
1313,2457,1834
1314,2456,1838
1315,2453,1834
1316,2450,1834
1317,2453,1834
1318,2459,1840
1319,2461,1843
1320,2458,1843
1321,2457,1842
1322,2464,1843
1323,2472,1846
1324,2467,1846
1325,2473,1841
1326,2475,1840
1327,2475,1843
1328,2476,1842
1329,2471,1837
1330,2466,1841
1331,2470,1838
1332,2470,1836
1333,2464,1832
1334,2458,1828
1335,2452,1826
1336,2453,1825
1337,2456,1825
1338,2454,1820
1339,2456,1824
1340,2452,1830
1341,2460,1833
1342,2462,1839
1343,2465,1842
1344,2465,1841
1345,2465,1844
1346,2468,1841
1347,2471,1841
1348,2479,1843
1349,2477,1847
1350,2473,1851
1351,2468,1846
1352,2472,1842
1353,2476,1845
1354,2478,1843
1355,2472,1838
1356,2471,1842
1357,2471,1845
1358,2475,1843
1359,2470,1842
1360,2476,1848
1361,2480,1847
1362,2477,1848
1363,2471,1844
1364,2475,1846
1365,2478,1848
1366,2481,1852
1367,2477,1848
1368,2478,1853
1369,2485,1858
1370,2489,1858
1371,2484,1853
1372,2484,1853
1373,2485,1854
1374,2486,1853
1375,2490,1854
1376,2489,1859
1377,2496,1860
1378,2490,1858
1379,2492,1855
1380,2488,1854
1381,2494,1858
1382,2502,1864
1383,2502,1864
1384,2504,1859
1385,2508,1857
1386,2514,1859
1387,2518,1855
1388,2520,1858
1389,2526,1860
1390,2527,1855
1391,2529,1858
1392,2533,1860
1393,2536,1857
1394,2544,1860
1395,2541,1863
1396,2540,1868
1397,2538,1871
1398,2533,1873
1399,2527,1878
1400,2532,1881
1401,2533,1876
1402,2537,1875
1403,2543,1870
1404,2542,1875
1405,2536,1875
1406,2540,1880
1407,2542,1876
1408,2541,1874
1409,2546,1878
1410,2542,1883
1411,2538,1884
1412,2535,1888
1413,2533,1885
1414,2538,1887
1415,2543,1889
1416,2544,1891
1417,2544,1887
1418,2538,1887
1419,2546,1886
1420,2549,1882
1421,2546,1888
1422,2544,1884
1423,2545,1890
1424,2547,1893
1425,2547,1888
1426,2542,1890
1427,2536,1889
1428,2531,1887
1429,2528,1893
1430,2524,1893
1431,2532,1896
1432,2534,1900
1433,2537,1905
1434,2540,1906
1435,2545,1907
1436,2552,1909
1437,2554,1911
1438,2560,1916
1439,2556,1919
1440,2564,1914
1441,2569,1918
1442,2577,1914
1443,2583,1911
1444,2582,1911
1445,2585,1915
1446,2593,1912
1447,2593,1908
1448,2590,1914
1449,2590,1909
1450,2596,1908
1451,2598,1914
1452,2600,1909
1453,2603,1910
1454,2611,1915
1455,2605,1914
1456,2613,1915
1457,2614,1916
1458,2616,1915
1459,2624,1910
1460,2631,1912
1461,2626,1908
1462,2634,1907
1463,2641,1907
1464,2641,1908
1465,2643,1905
1466,2639,1900
1467,2637,1904
1468,2635,1908
1469,2643,1906
1470,2644,1912
1471,2643,1910
1472,2645,1905
1473,2642,1900
1474,2638,1902
1475,2639,1902
1476,2646,1898
1477,2647,1904
1478,2653,1899
1479,2655,1902
1480,2652,1899
1481,2660,1894
1482,2656,1899
1483,2656,1905
1484,2660,1905
1485,2659,1904
1486,2660,1900
1487,2661,1899
1488,2665,1896
1489,2664,1899
1490,2670,1896
1491,2677,1891
1492,2681,1895
1493,2677,1901
1494,2685,1902
1495,2692,1899
1496,2699,1899
1497,2699,1895
1498,2703,1898
1499,2702,1900
1500,2709,1905
1501,2715,1902
1502,2710,1897
1503,2715,1897
1504,2711,1898
1505,2715,1895
1506,2723,1897
1507,2724,1900
1508,2724,1905
1509,2727,1904
1510,2725,1910
1511,2728,1910
1512,2731,1910
1513,2739,1907
1514,2744,1911
1515,2739,1917
1516,2738,1915
1517,2742,1911
1518,2747,1909
1519,2748,1907
1520,2750,1902
1521,2752,1898
1522,2752,1893
1523,2749,1896
1524,2756,1893
1525,2754,1899
1526,2749,1897
1527,2752,1898
1528,2758,1904
1529,2764,1903
1530,2769,1905
1531,2765,1902
1532,2759,1908
1533,2761,1905
1534,2761,1910
1535,2769,1911
1536,2770,1911
1537,2768,1909
1538,2763,1906
1539,2770,1905
1540,2773,1906
1541,2770,1902
1542,2764,1902
1543,2769,1906
1544,2769,1911
1545,2772,1908
1546,2777,1910
1547,2776,1908
1548,2782,1912
1549,2786,1907
1550,2783,1907
1551,2787,1912
1552,2782,1910
1553,2786,1906
1554,2790,1908
1555,2790,1906
1556,2787,1908
1557,2786,1905
1558,2791,1904
1559,2792,1909
1560,2800,1904
1561,2796,1905
1562,2802,1900
1563,2805,1902
1564,2803,1903
1565,2808,1905
1566,2807,1905
1567,2814,1910
1568,2812,1914
1569,2811,1911
1570,2814,1906
1571,2809,1910
1572,2817,1907
1573,2819,1902
1574,2819,1902
1575,2822,1907
1576,2829,1905
1577,2825,1904
1578,2822,1902
1579,2822,1901
1580,2825,1897
1581,2832,1894
1582,2829,1899
1583,2825,1898
1584,2832,1894
1585,2840,1898
1586,2839,1895
1587,2838,1898
1588,2836,1900
1589,2832,1895
1590,2832,1891
1591,2838,1887
1592,2841,1886
1593,2840,1882
1594,2834,1885
1595,2829,1884
1596,2832,1888
1597,2838,1885
1598,2840,1891
1599,2835,1895
1600,2832,1898
1601,2837,1895
1602,2836,1891
1603,2836,1891
1604,2836,1887
1605,2832,1882
1606,2832,1879
1607,2827,1881
1608,2826,1883
1609,2822,1885
1610,2819,1884
1611,2822,1884
1612,2828,1884
1613,2824,1882
1614,2824,1881
1615,2827,1879
1616,2826,1881
1617,2829,1881
1618,2832,1884
1619,2832,1879
1620,2832,1876
1621,2829,1878
1622,2824,1876
1623,2819,1881
1624,2817,1881
1625,2815,1886
1626,2820,1887
1627,2821,1889
1628,2817,1885
1629,2817,1885
1630,2821,1889
1631,2818,1889
1632,2819,1890
1633,2827,1888
1634,2831,1887
1635,2834,1890
1636,2833,1886
1637,2841,1884
1638,2843,1884
1639,2851,1882
1640,2851,1877
1641,2845,1881
1642,2847,1883
1643,2846,1878
1644,2845,1875
1645,2850,1878
1646,2849,1878
1647,2848,1875
1648,2856,1871
1649,2857,1872
1650,2858,1867
1651,2854,1869
1652,2862,1864
1653,2865,1870
1654,2870,1870
1655,2868,1875
1656,2868,1872
1657,2868,1873
1658,2874,1876
1659,2878,1872
1660,2884,1870
1661,2883,1876
1662,2878,1880
1663,2886,1878
1664,2880,1884
